nome,nome,votos
PATRICIA LIMA FERRAZ,PATRICIA LIMA FERRAZ,9678.000000000007
AGORD DE MATOS PINTO,AGORD DE MATOS PINTO,1598.0
AGUIDA BARRIGA DA SILVA,AGUIDA BARRIGA DA SILVA,971.9999999999999
MARCOS JOSE REATEGUI SOUZA,MARCOS JOSE REATEGUI SOUZA,12485.0
RONALDO VITORIA FAGUNDES,RONALDO VITORIA FAGUNDES,541.0000000000001
JULIAM EDUARDO HOLANDA SOARES,JULIAM EDUARDO HOLANDA SOARES,885.9999999999998
ALZENIR DE SOUZA SANTOS,ALZENIR DE SOUZA SANTOS,361.9999999999999
ANTONIO RAIMUNDO BLANC DOS SANTOS,ANTONIO RAIMUNDO BLANC DOS SANTOS,755.0000000000002
CAMILO OLIVEIRA DE SOUZA,CAMILO OLIVEIRA DE SOUZA,629.0000000000001
EVANDRO COSTA GAMA,EVANDRO COSTA GAMA,3530.9999999999995
MANOEL DO NASCIMENTO CAMARA SOUZA,MANOEL DO NASCIMENTO CAMARA SOUZA,1412.0000000000005
MARIA DO PERPETUO SOCORRO DE ARAUJO MODESTO,MARIA DO PERPETUO SOCORRO DE ARAUJO MODESTO,1972.0
EDUARDO SEABRA DA COSTA,EDUARDO SEABRA DA COSTA,2127.0000000000005
JOZIANE ARAUJO NASCIMENTO ROCHA,JOZIANE ARAUJO NASCIMENTO ROCHA,10007.000000000005
JORIELSON BRITO NASCIMENTO,JORIELSON BRITO NASCIMENTO,4818.000000000001
ANTONIO LUIZ COUTINHO MARQUES,ANTONIO LUIZ COUTINHO MARQUES,370.9999999999999
REGIANE GURGEL MENEZES MEDEIROS,REGIANE GURGEL MENEZES MEDEIROS,61.99999999999999
FRANCISCO ODILON FILHO,FRANCISCO ODILON FILHO,7564.0
FRAN SOARES NASCIMENTO JUNIOR,FRAN SOARES NASCIMENTO JUNIOR,0.0
JURANDIL DOS SANTOS JUAREZ,JURANDIL DOS SANTOS JUAREZ,8515.000000000007
PEDRO LOURENÇO DA COSTA NETO,PEDRO LOURENÇO DA COSTA NETO,3565.0000000000027
ALDRIN NUNES TORRINHA,ALDRIN NUNES TORRINHA,6755.999999999995
MARCIA NAZARÉ FARIAS PINHEIRO,MARCIA NAZARÉ FARIAS PINHEIRO,452.0000000000001
OFIRNEY DA CONCEIÇAO SADALA,OFIRNEY DA CONCEIÇAO SADALA,10285.999999999995
ELIZOMAR PEREIRA ALVES,ELIZOMAR PEREIRA ALVES,521.0000000000002
SIDIANE RIBEIRO SOBRINHO,SIDIANE RIBEIRO SOBRINHO,64.99999999999997
ADIMIRÇO DE ALMEIDA RAMOS,ADIMIRÇO DE ALMEIDA RAMOS,889.0
ZILMA CORREA BALIEIRO DOS SANTOS,ZILMA CORREA BALIEIRO DOS SANTOS,10478.000000000005
EURISON DE ANDRADE DA SILVA,EURISON DE ANDRADE DA SILVA,5291.000000000003
ARLITA SÁ DA SILVA,ARLITA SÁ DA SILVA,0.0
MESSIAS REIS DA SILVA,MESSIAS REIS DA SILVA,14.0
ANDRÉ DOS SANTOS ABDON,ANDRÉ DOS SANTOS ABDON,13798.000000000011
PAULA DE CARVALHO BASTONE,PAULA DE CARVALHO BASTONE,253.99999999999991
RAIMUNDO NONATO CÔRTES COSTA,RAIMUNDO NONATO CÔRTES COSTA,751.0000000000001
ANTONIO DE DEUS NUNES DOS SANTOS,ANTONIO DE DEUS NUNES DOS SANTOS,7918.0
